neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Mountbatten,Old Airport Road Food Centre,www.yelp.com/biz/old-airport-road-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RQ2oY9RFsCvqwPepyjnaZA/348s.jpg,4.5,65,Mountbatten,"['Hawker Centre', 'Food Court']",1.0
Mountbatten,Sweet Garden Dining Cafe,www.yelp.com/biz/sweet-garden-dining-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AmdRiPgjRKtRCuO3lV-1bQ/348s.jpg,4,1,Mountbatten,"['Desserts', 'Coffee & Tea', 'Pizza']",
Mountbatten,Roast Paradise,www.yelp.com/biz/roast-paradise-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/V87Eqxi8PQ51TKyoVre9lQ/348s.jpg,4,6,Mountbatten,"['Chinese', 'Asian Fusion']",
Mountbatten,Brawn & Brains Coffee,www.yelp.com/biz/brawn-and-brains-coffee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hjOEisgZi9IC1-Nsx4sqPA/348s.jpg,4,26,Geylang,"['Coffee & Tea', 'Sandwiches']",2.0
Mountbatten,No Signboard Seafood Restaurant,www.yelp.com/biz/no-signboard-seafood-restaurant-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Fen06sNQancYz3uw0xbI_Q/348s.jpg,3.5,53,Geylang,['Seafood'],3.0
Mountbatten,JB Ah Meng,www.yelp.com/biz/jb-ah-meng-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/R1O2t4Mlj2EXMCpGDpEe8Q/348s.jpg,4.5,21,Geylang,"['Chinese', 'Seafood']",2.0
Mountbatten,Fatt Choy Mui Seafood Restaurant,www.yelp.com/biz/fatt-choy-mui-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2UwRzhUzTtE0jV0uDsIolw/348s.jpg,4.5,2,Mountbatten,"['Seafood', 'Cantonese', 'Street Vendors']",
Mountbatten,Xin Mei Xiang Lor Mee,www.yelp.com/biz/xin-mei-xiang-lor-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SI-bjnrmCijBiKxVotQUqQ/348s.jpg,4.5,5,Mountbatten,['Chinese'],
Mountbatten,來姐家,www.yelp.com/biz/%E4%BE%86%E5%A7%90%E5%AE%B6-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dM07ZCS4TlXS3twSklaJiQ/348s.jpg,5,1,Geylang,"['Szechuan', 'Imported Food']",
Mountbatten,Penang Seafood Restaurant,www.yelp.com/biz/penang-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n8F45PR_g6bxTL22eFZqPA/348s.jpg,4,12,Geylang,"['Malaysian', 'Seafood']",1.0
Mountbatten,Nanyang Old Taste,www.yelp.com/biz/nanyang-old-taste-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N_witKz_D3M1647hXhRxhQ/348s.jpg,5,1,Geylang,['Singaporean'],
Mountbatten,Toast Hut,www.yelp.com/biz/toast-hut-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DpKX4__VpAQVcRdTcPzVBQ/348s.jpg,3,1,Mountbatten,['Cafes'],
Mountbatten,Foon’s Thai Recipe,www.yelp.com/biz/foons-thai-recipe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ArL771LbuJeGezjUhYherQ/348s.jpg,5,1,Mountbatten,['Thai'],1.0
Mountbatten,Albert Street Prawn Noodles,www.yelp.com/biz/albert-street-prawn-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iPtY2nvm3FksLhLgHu6cOg/348s.jpg,4,5,Mountbatten,['Chinese'],
Mountbatten,Hin Fried Hor Fun,www.yelp.com/biz/hin-fried-hor-fun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d3FZ72d5osdT0hhsZtPE-g/348s.jpg,4,1,Mountbatten,['Chinese'],
Mountbatten,旺角點心 Mongkok Dim Sum,www.yelp.com/biz/%E6%97%BA%E8%A7%92%E9%BB%9E%E5%BF%83-mongkok-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UmNo8niqt2PFYRmIRZmCoQ/348s.jpg,3.5,10,Geylang,['Dim Sum'],1.0
Mountbatten,Lao Fu Zi Fried Kway Teow,www.yelp.com/biz/lao-fu-zi-fried-kway-teow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1JCAfVJr8PVRJKg4LlW6lQ/348s.jpg,3.5,12,Mountbatten,"['Chinese', 'Singaporean']",1.0
Mountbatten,My Genie Gourmet,www.yelp.com/biz/my-genie-gourmet-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VKlzfFJUd6ANLktObH0BhA/348s.jpg,3.5,2,Mountbatten,['Singaporean'],
Mountbatten,Collin’s Grill,www.yelp.com/biz/collins-grill-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4V3U0h2Dmd5uu0GJMsLWYA/348s.jpg,5,1,Geylang,"['Restaurants', 'Street Vendors']",
Mountbatten,Sin Huat Seafood Restaurant,www.yelp.com/biz/sin-huat-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MM9YUki7MlakPIJY-xpOdA/348s.jpg,4,11,Geylang,"['Seafood', 'Singaporean']",4.0
Mountbatten,126 Eating House,www.yelp.com/biz/126-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jtDcQMI4LBR5j-fodYBYAQ/348s.jpg,4,2,Geylang,['Dim Sum'],
Mountbatten,Blanco Court Traditional Hainan Beef Noodles,www.yelp.com/biz/blanco-court-traditional-hainan-beef-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jkIGhMfVW-AlCMB4HUqK5g/348s.jpg,3.5,3,Geylang,"['Hainan', 'Noodles']",
Mountbatten,Long Beach King Seafood,www.yelp.com/biz/long-beach-king-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o3HIHjwET2W67-kxUns2HQ/348s.jpg,4,22,Mountbatten,['Seafood'],4.0
Mountbatten,Toa Payoh Rojak,www.yelp.com/biz/toa-payoh-rojak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Md4JLPtqRJ1qaHxyNGLbAg/348s.jpg,4.5,5,Mountbatten,"['Street Vendors', 'Singaporean']",1.0
Mountbatten,Western Barbeque,www.yelp.com/biz/western-barbeque-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Hhnk1IjWDRRO32CYOeWZ1A/348s.jpg,4.5,4,Mountbatten,['Barbeque'],1.0
Mountbatten,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/E97UHpfFV_xtTv5mfhfpGA/348s.jpg,3.5,2,Geylang,['Korean'],
Mountbatten,Dong Ji Fried Kway Teow,www.yelp.com/biz/dong-ji-fried-kway-teow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x2zkVXyGYBCToU1OSRSYLA/348s.jpg,1,1,Mountbatten,['Singaporean'],
Mountbatten,Geylang Lorong 9 Beef Kway Teow,www.yelp.com/biz/geylang-lorong-9-beef-kway-teow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gRr9_mg_SRN7xrkqn9Pq4g/348s.jpg,4,14,Geylang,['Chinese'],1.0
Mountbatten,The Tuckshop,www.yelp.com/biz/the-tuckshop-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/byzresXnEKNMsHzlOPUmRQ/348s.jpg,3.5,10,Geylang,"['Bars', 'Gastropubs']",2.0
Mountbatten,Happy Crab,www.yelp.com/biz/happy-crab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lGWzdL3aDbsa9jsLWjtl7Q/348s.jpg,4.5,11,Arab Street,"['Seafood', 'Singaporean']",3.0
Mountbatten,LDM Charcoal BBQ Restaurant,www.yelp.com/biz/ldm-charcoal-bbq-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b1qdHHD0S-cCQ9E2IQYtPw/348s.jpg,4,2,Geylang,['Chinese'],2.0
Mountbatten,Builders Cafe,www.yelp.com/biz/builders-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Af00wM1hornJGNsFWZ6Q3Q/348s.jpg,4.5,2,Geylang,['Cafes'],
Mountbatten,Tan Ser Seng Herbal Restaurant,www.yelp.com/biz/tan-ser-seng-herbal-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9A1mEkn6haGa7LI0cGShwA/348s.jpg,4.5,3,Geylang,['Chinese'],
Mountbatten,Ah Guan,www.yelp.com/biz/ah-guan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GF22SLZHbPOXDk0hcTV78A/348s.jpg,4,1,Geylang,['Chinese'],
Mountbatten,Freshly Made Chee Cheong Fun,www.yelp.com/biz/freshly-made-chee-cheong-fun-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C6_ALsku12x3H0UmgHWjGg/348s.jpg,3.5,2,Mountbatten,['Singaporean'],
Mountbatten,Little Vietnam Restaurant & Cafe,www.yelp.com/biz/little-vietnam-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FUTn42NhHq7HaU6oA8B73w/348s.jpg,3.5,9,Geylang,['Vietnamese'],1.0
